	bead No				c1				c2				KG				Km				R^2			patch area
       86		      0.140		      0.072		      0.010		      0.106		      0.999		      0.290
       87		      0.351		      0.129		      0.045		      0.240		      1.000		      0.398
       88		      0.402		      0.027		      0.011		      0.215		      0.978		      0.405
       89		      0.112		      0.494		      0.055		      0.303		      0.987		      0.378
       90		      0.552		     -1.463		     -0.808		     -0.455		      1.000		      0.269
       91		      0.085		      0.382		      0.033		      0.234		      0.999		      0.319
       92		      0.100		      0.320		      0.032		      0.210		      0.963		      0.463
       93		      0.145		      0.070		      0.010		      0.108		      0.999		      0.388
       94		     -0.332		      0.009		     -0.003		     -0.162		      0.961		      0.358
       95		     -0.514		     -0.110		      0.056		      0.312		      0.993		      0.437
       96		      0.124		      0.392		      0.048		      0.258		      1.000		      0.281
       97		     -0.283		     -0.090		      0.025		      0.186		      0.979		      0.422
       98		      0.125		      0.056		      0.007		      0.091		      0.993		      0.320
       99		      0.065		      0.379		      0.025		      0.222		      0.991		      0.392
      100		     -0.505		     -0.085		      0.043		      0.295		      0.990		      0.397
      101		     -0.347		      7.595		     -2.636		     -3.624		      1.000		      0.085
      102		      0.193		      0.516		      0.100		      0.354		      0.999		      0.266
      103		     -0.347		      7.595		     -2.636		     -3.624		      1.000		      0.085
      104		     -0.323		     -0.072		      0.023		      0.197		      0.983		      0.388
      105		      0.152		      0.079		      0.012		      0.116		      0.999		      0.263
      106		      0.167		      0.503		      0.084		      0.335		      0.989		      0.427
      107		      0.162		      0.555		      0.090		      0.358		      0.997		      0.263
      108		     -0.194		    -16.127		      3.130		      8.161		      1.000		      0.054
      109		     -0.302		     -0.101		      0.030		      0.201		      0.981		      0.435
      110		      0.141		      0.059		      0.008		      0.100		      1.000		      0.273
      111		      0.236		      0.522		      0.123		      0.379		      0.989		      0.419
      112		      0.194		      0.530		      0.103		      0.362		      1.000		      0.264
      113		      0.193		      0.435		      0.084		      0.314		      1.000		      0.263
      114		     -0.311		     -0.088		      0.027		      0.199		      0.978		      0.410
      115		      0.165		      0.095		      0.016		      0.130		      0.999		      0.403
      116		      0.116		      0.349		      0.040		      0.232		      0.989		      0.405
      117		      0.216		      0.505		      0.109		      0.361		      0.989		      0.451
      118		      0.215		      0.490		      0.105		      0.353		      0.992		      0.263
      119		     -0.277		      6.708		     -1.858		     -3.215		      0.999		      0.073
      120		      0.146		      0.304		      0.044		      0.225		      0.986		      0.444
      121		      0.182		      0.131		      0.024		      0.157		      0.988		      0.267
      122		      0.342		      0.193		      0.066		      0.268		      0.958		      0.420
      123		      0.529		      0.270		      0.143		      0.399		      0.981		      0.425
      124		      0.258		      0.466		      0.120		      0.362		      0.991		      0.299
      125		        nan		        nan		        nan		        nan		        nan		        nan
      126		      0.389		      0.012		      0.005		      0.201		      0.998		      0.257
      127		      0.352		      0.187		      0.066		      0.269		      0.996		      0.443
      128		      0.142		      0.368		      0.052		      0.255		      0.998		      0.321
      129		      0.438		      0.123		      0.054		      0.281		      0.964		      0.392
      130		      0.517		      0.211		      0.109		      0.364		      0.976		      0.396
      131		      0.211		      0.637		      0.134		      0.424		      0.999		      0.299
      132		      0.131		      0.427		      0.056		      0.279		      0.982		      0.248
      133		     -3.198		      5.071		    -16.217		     -0.936		      0.997		      0.373
      134		      0.209		      0.102		      0.021		      0.155		      0.993		      0.288
      135		      0.214		      0.388		      0.083		      0.301		      0.992		      0.415
      136		      0.158		      0.537		      0.085		      0.347		      0.995		      0.376
      137		      0.206		      0.525		      0.108		      0.365		      0.996		      0.374
      138		      0.534		      0.228		      0.122		      0.381		      0.994		      0.425
      139		      0.241		      0.568		      0.137		      0.404		      0.996		      0.393
      140		      0.476		      0.039		      0.019		      0.258		      1.000		      0.147
      141		      0.353		      0.165		      0.058		      0.259		      0.983		      0.294
      142		      0.442		      0.203		      0.090		      0.323		      0.993		      0.462
      143		      0.434		      0.209		      0.091		      0.322		      0.991		      0.427
      144		      0.495		      0.198		      0.098		      0.346		      0.992		      0.432
      145		      0.464		      0.231		      0.107		      0.348		      0.983		      0.427
      146		      0.232		      0.136		      0.031		      0.184		      1.000		      0.121
      147		      0.499		      0.282		      0.141		      0.391		      0.989		      0.356
      148		      0.442		      0.203		      0.090		      0.323		      0.993		      0.462
      149		      0.452		      0.119		      0.054		      0.285		      1.000		      0.226
      150		      0.471		      0.174		      0.082		      0.322		      0.984		      0.264
      151		      0.388		      0.166		      0.064		      0.277		      0.993		      0.492
      152		      0.390		      0.165		      0.064		      0.277		      0.990		      0.439
      153		     -0.408		     -0.212		      0.087		      0.310		      0.989		      0.241
      154		      0.433		      0.188		      0.081		      0.310		      0.998		      0.384
      155		      0.439		      0.178		      0.078		      0.309		      0.995		      0.457
      156		      0.491		      0.185		      0.091		      0.338		      1.000		      0.391
      157		      0.492		      0.190		      0.093		      0.341		      1.000		      0.439
      158		      0.460		      0.131		      0.060		      0.296		      0.989		      0.332
      159		      0.459		      0.152		      0.070		      0.306		      0.989		      0.481
      160		     -0.104		     -0.290		      0.030		      0.197		      0.998		      0.199
      161		     -3.979		      6.096		    -24.256		     -1.058		      0.998		      0.378
      162		     -0.135		     -0.056		      0.007		      0.095		      0.996		      0.271
      163		     -0.311		     -0.142		      0.044		      0.226		      0.986		      0.284
      164		      0.136		      0.353		      0.048		      0.244		      0.994		      0.436
      165		     -0.134		     -0.478		      0.064		      0.306		      0.987		      0.436
      166		     -0.454		     -0.121		      0.055		      0.287		      1.000		      0.402
      167		      0.162		      0.495		      0.080		      0.329		      0.989		      0.432
      168		      0.448		      0.083		      0.037		      0.266		      0.987		      0.234
      169		     -0.153		     -0.546		      0.083		      0.349		      0.994		      0.459
      170		      0.118		      0.402		      0.047		      0.260		      0.940		      0.234
      171		      0.319		      0.138		      0.044		      0.229		      0.973		      0.496
      172		      0.106		      0.315		      0.033		      0.210		      0.978		      0.315
      173		      0.356		      0.037		      0.013		      0.196		      0.967		      0.427
      174		      0.480		      0.086		      0.041		      0.283		      0.985		      0.436
      175		        nan		        nan		        nan		        nan		        nan		        nan
      176		      0.134		      0.498		      0.067		      0.316		      0.997		      0.416
      177		      0.177		     -2.985		     -0.530		     -1.404		      0.999		      0.268
      178		      0.034		      0.304		      0.010		      0.169		      0.984		      0.312
      179		      0.030		      0.298		      0.009		      0.164		      0.969		      0.294
      180		      0.325		     -0.182		     -0.059		     -0.071		      1.000		      0.115
      181		      0.309		      0.066		      0.020		      0.187		      0.980		      0.428
      182		     -0.051		     -0.481		      0.025		      0.266		      0.990		      0.406
      183		      0.095		      0.461		      0.044		      0.278		      0.999		      0.387
      184		     -0.315		     -0.110		      0.035		      0.213		      0.998		      0.311
      185		      0.144		      0.071		      0.010		      0.108		      1.000		      0.331
      186		     -0.457		     -0.166		      0.076		      0.311		      1.000		      0.152
      187		     -0.096		     -1.203		      0.116		      0.650		      1.000		      0.188
      188		     -0.147		     -0.476		      0.070		      0.312		      1.000		      0.345
      189		     -0.061		     -0.248		      0.015		      0.154		      0.977		      0.424
      190		      0.055		      0.149		      0.008		      0.102		      1.000		      0.285
      191		     -0.067		     -0.524		      0.035		      0.296		      1.000		      0.263
      192		     -0.433		     -0.091		      0.039		      0.262		      0.997		      0.321
      193		      0.100		      0.265		      0.026		      0.183		      0.965		      0.458
      194		      0.064		      0.162		      0.010		      0.113		      1.000		      0.260
      195		      0.115		      0.567		      0.065		      0.341		      1.000		      0.289
      196		     -0.443		     -0.090		      0.040		      0.266		      0.997		      0.379
      197		      0.081		      0.246		      0.020		      0.163		      0.959		      0.450
      198		      0.072		      0.147		      0.011		      0.110		      1.000		      0.246
      199		      0.122		      0.314		      0.038		      0.218		      0.998		      0.261
      200		      0.140		      0.248		      0.035		      0.194		      0.963		      0.448
      201		      0.137		      0.094		      0.013		      0.115		      1.000		      0.249
      202		      0.175		      0.313		      0.055		      0.244		      1.000		      0.230
      203		      0.126		      0.236		      0.030		      0.181		      0.952		      0.448
      204		      0.145		      0.093		      0.014		      0.119		      1.000		      0.265
      205		      0.174		      0.440		      0.076		      0.307		      0.997		      0.415
      206		     -0.283		     -0.073		      0.021		      0.178		      0.978		      0.386
      207		      0.130		      0.104		      0.014		      0.117		      0.999		      0.297
      208		      0.198		      0.336		      0.066		      0.267		      0.998		      0.252
      209		      0.244		      0.084		      0.020		      0.164		      0.969		      0.387
      210		     -0.129		     -0.135		      0.017		      0.132		      1.000		      0.281
      211		      0.256		      0.560		      0.143		      0.408		      0.994		      0.302
      212		     -0.436		     -0.156		      0.068		      0.296		      0.998		      0.388
      213		      0.145		      0.271		      0.039		      0.208		      0.986		      0.346
      214		      0.152		      0.284		      0.043		      0.218		      0.982		      0.319
      215		      0.339		      0.139		      0.047		      0.239		      0.998		      0.488
      216		      0.176		      0.560		      0.098		      0.368		      0.999		      0.243
      217		     -0.450		     -0.153		      0.069		      0.301		      1.000		      0.316
      218		     -0.262		      0.084		     -0.022		     -0.089		      1.000		      0.131
      219		     -0.190		     -0.321		      0.061		      0.256		      0.976		      0.497
      220		      0.267		      0.109		      0.029		      0.188		      0.990		      0.355
      221		      0.170		      0.516		      0.088		      0.343		      0.999		      0.310
      222		      0.088		      0.837		      0.074		      0.463		      1.000		      0.331
      223		      0.088		      0.837		      0.074		      0.463		      1.000		      0.331
      224		     -1.614		      3.398		     -5.486		     -0.892		      1.000		      0.246
      225		      0.195		      0.082		      0.016		      0.139		      0.993		      0.304
      226		     -0.194		     -0.385		      0.074		      0.289		      0.962		      0.457
      227		     -0.512		     -0.227		      0.116		      0.370		      0.986		      0.433
      228		      0.543		      0.195		      0.106		      0.369		      0.988		      0.229
      229		      0.193		      0.390		      0.075		      0.291		      0.996		      0.307
      230		     -0.408		      0.144		     -0.059		     -0.132		      1.000		      0.213
      231		     -0.400		     -0.156		      0.062		      0.278		      0.995		      0.547
      232		      0.250		      0.068		      0.017		      0.159		      0.998		      0.284
      233		     -0.153		     -0.484		      0.074		      0.318		      0.988		      0.432
      234		     12.006		    -11.955		   -143.534		     -0.026		      1.000		      0.345
      235		     -0.472		     -0.206		      0.097		      0.339		      0.999		      0.347
      236		      0.523		      0.216		      0.113		      0.370		      0.997		      0.451
      237		        nan		        nan		        nan		        nan		        nan		        nan
      238		      0.502		      0.246		      0.124		      0.374		      0.987		      0.226
      239		      0.426		      0.177		      0.075		      0.302		      0.990		      0.275
      240		      0.433		      0.150		      0.065		      0.292		      1.000		      0.347
      241		      0.485		      0.158		      0.077		      0.321		      1.000		      0.300
      242		      0.489		      0.201		      0.098		      0.345		      1.000		      0.257
      243		      0.535		      0.325		      0.174		      0.430		      0.997		      0.307
      244		      0.443		      0.130		      0.057		      0.286		      0.986		      0.253
      245		        nan		        nan		        nan		        nan		        nan		        nan
      246		     -0.533		     10.935		     -5.829		     -5.201		      0.992		      0.053
      247		     -0.768		     11.999		     -9.219		     -5.615		      1.000		      0.094
      248		      0.532		      0.263		      0.140		      0.398		      0.999		      0.268
      249		      0.532		      0.263		      0.140		      0.398		      0.999		      0.268
      250		     -1.483		      3.206		     -4.754		     -0.862		      0.995		      0.410
      251		     -0.243		     -0.097		      0.024		      0.170		      1.000		      0.299
      252		     -0.422		     -0.296		      0.125		      0.359		      0.993		      0.294
      253		      0.399		      0.281		      0.112		      0.340		      0.988		      0.309
      254		      0.194		      0.403		      0.078		      0.298		      0.982		      0.469
      255		     -0.188		     -0.456		      0.086		      0.322		      1.000		      0.415
      256		      0.187		      0.491		      0.092		      0.339		      0.999		      0.433
      257		      0.430		      0.276		      0.119		      0.353		      0.999		      0.222
      258		     -0.503		     -0.211		      0.106		      0.357		      0.998		      0.425
      259		     -0.094		     -0.698		      0.066		      0.396		      1.000		      0.184
      260		     -0.094		     -0.698		      0.066		      0.396		      1.000		      0.184
      261		     -0.094		     -0.698		      0.066		      0.396		      1.000		      0.184
      262		     -0.181		     -0.368		      0.067		      0.275		      1.000		      0.352
      263		     -0.217		     -0.156		      0.034		      0.187		      0.999		      0.291
      264		     -0.302		     -0.180		      0.054		      0.241		      0.999		      0.293
      265		      0.183		      0.315		      0.058		      0.249		      0.963		      0.456
      266		     -0.166		     -0.510		      0.085		      0.338		      0.988		      0.507
      267		     -0.521		     -0.297		      0.155		      0.409		      1.000		      0.314
      268		     -0.127		     -0.297		      0.038		      0.212		      0.964		      0.391
      269		      0.195		      0.079		      0.015		      0.137		      0.997		      0.233
      270		     -0.521		     -0.297		      0.155		      0.409		      1.000		      0.314
      271		     -0.100		     -0.467		      0.046		      0.283		      0.987		      0.439
      272		      0.089		      0.464		      0.042		      0.277		      0.994		      0.385
      273		     -0.267		      1.592		     -0.424		     -0.663		      0.999		      0.155
      274		     -0.267		      1.592		     -0.424		     -0.663		      0.999		      0.155
      275		        nan		        nan		        nan		        nan		        nan		        nan
      276		      0.361		     -0.012		     -0.005		     -0.174		      0.980		      0.236
      277		     -0.156		     -0.505		      0.079		      0.330		      1.000		      0.388
