bead_types,,,,nonbonded_parameters,,
SP3,TX4er,1,,0.365,,1.340
TP3,X4er,1,,0.395,,1.550
TP3,SX4er,1,,0.365,,1.340
TP3,TX4er,1,,0.340,,0.900
,,,,,,
  P3a, X4er,1,,0.470,,2.430
  P3a,SX4er,1,,0.430,,1.900
  P3a,TX4er,1,,0.395,,1.520
 SP3a, X4er,1,,0.430,,1.904
 SP3a,SX4er,1,,0.410,,1.675
 SP3a,TX4er,1,,0.366,,1.300
 TP3a, X4er,1,,0.395,,1.518
 TP3a,SX4er,1,,0.366,,1.300
 TP3a,TX4er,1,,0.352,,0.860
 ,,,,,,
  P3d, X4er,1,,0.470,,2.500
  P3d,SX4er,1,,0.430,,1.930
  P3d,TX4er,1,,0.395,,1.570
 SP3d, X4er,1,,0.430,,1.900
 SP3d,SX4er,1,,0.410,,1.730
 SP3d,TX4er,1,,0.365,,1.340
 TP3d, X4er,1,,0.395,,1.550
 TP3d,SX4er,1,,0.365,,1.340
 TP3d,TX4er,1,,0.340,,0.900
,,,,,,
P4,X4er,1,,0.470,,2.550
P4,SX4er,1,,0.430,,1.969
P4,TX4er,1,,0.395,,1.601
SP4,X4er,1,,0.430,,1.938
SP4,SX4er,1,,0.410,,1.765
SP4,TX4er,1,,0.365,,1.367
TP4,X4er,1,,0.395,,1.581
TP4,SX4er,1,,0.365,,1.367
TP4,TX4er,1,,0.340,,0.918
,,,,,,
P5,X4er,1,,0.470,,2.600
P5,SX4er,1,,0.430,,2.222
P5,TX4er,1,,0.395,,1.692
SP5,X4er,1,,0.430,,2.222
SP5,SX4er,1,,0.410,,1.442
SP5,TX4er,1,,0.365,,1.403
TP5,X4er,1,,0.395,,1.692
TP5,SX4er,1,,0.365,,1.403
TP5,TX4er,1,,0.340,,0.981
,,,,,,
P6,X4er,1,,0.470,,2.650
P6,SX4er,1,,0.430,,2.265
P6,TX4er,1,,0.395,,1.725
SP6,X4er,1,,0.430,,2.265
SP6,SX4er,1,,0.410,,1.470
SP6,TX4er,1,,0.365,,1.430
TP6,X4er,1,,0.395,,1.725
TP6,SX4er,1,,0.365,,1.430
TP6,TX4er,1,,0.340,,1.000
,,,,,,
  W,X4er,1,,0.465,,2.400
 W,SX4er,1,,0.425,,1.930
 W,TX4er,1,,0.385,,1.470
 SW,X4er,1,,0.435,,1.800
SW,SX4er,1,,0.405,,1.500
SW,TX4er,1,,0.375,,1.450
 TW,X4er,1,,0.395,,1.600
TW,SX4er,1,,0.378,,1.400
TW,TX4er,1,,0.351,,1.150
